,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
79,152356,371313,333891,381309,148871,232015,326612,298726,1415,349097,140908,315547,163809,310029,410334,157006,354892,147858,229688,233099,407165,312251,160661,398403,168155,163375,278905,164423,427028,227151
80,58747,97594,58643,37192,36918,59301,54139,8725,24976,53962,85252,108409,37257,108424,96219,63103,61768,28162,37258,58648,85245,108315,23087,59300,50856,45867,5651,58321,108488,91057
81,63154,8469,65517,8687,119086,108404,48358,92583,92699,62293,59104,23258,24873,89288,63161,91127,53199,37298,108379,6131,61874,48290,51167,85461,59454,119303,54761,62034,92575,51010
82,162351,242314,341070,349419,362282,354889,320002,284045,196533,434302,423314,156789,349421,399034,523492,210271,288201,304112,112180,183719,423313,523488,218346,267330,523455,273485,370364,331328,523466,145617
83,418578,199021,232539,146667,316844,202697,174214,203171,418577,259883,332659,257251,363059,411776,155137,161215,353143,255297,322079,439564,231786,342017,353139,182784,302644,110730,275002,342980,421020,176919
84,460431,472507,464563,463005,464771,471933,472263,468551,465113,461845,474781,461863,474105,467110,472102,461242,459963,462493,461858,466498,464617,463977,479729,465856,481825,463681,470768,487256,471221,478581
85,51195,8528,93379,119872,85251,97928,58737,8823,108406,48316,95037,54544,54141,95639,59203,54067,65522,108223,51016,92321,63009,61696,9232,108316,28388,59201,36955,96286,25198,59303
86,43795,13857,16301,53409,23634,58134,44613,13733,40503,63950,23599,47563,53396,69308,64038,53203,100913,13732,13694,3183,27729,53267,5223,19971,3606,97373,4474,77014,69929,49693
87,117463,89577,119300,89576,57666,59156,95968,82391,47425,87671,69793,35087,82582,88936,97766,11262,40460,49646,61479,85009,97765,44826,13675,16348,10540,27903,57800,30174,40335,3148
88,21112,21769,21542,78114,77247,56193,45692,66994,5948,74610,73705,74927,32130,77782,77248,78108,56343,66948,11701,73708,11696,48161,48155,21111,45795,14812,74649,64352,11717,102309
89,352976,150850,321445,411475,310758,336398,153035,148581,112957,304900,429694,415966,262138,266610,431167,260579,282649,405843,220437,321949,434918,184884,240463,350555,214881,142319,256968,414396,178963,215158
90,39557,47571,90889,22638,108007,88329,25094,96401,87674,119732,8585,97449,91180,37103,89474,88900,92893,82584,28039,117449,119769,27911,82390,27882,56402,25181,35155,82364,93046,87694
91,435432,169306,169363,336741,353466,322418,204142,176495,225623,274342,156628,231469,386937,249164,384299,353792,234360,337978,253216,348097,271245,405688,350562,368408,318414,176121,169068,397252,207234,152864
92,337824,428228,242000,324596,439096,381467,287480,192873,255818,219957,259373,148394,188413,407473,248587,398862,315887,267840,290665,255809,388933,180034,276343,398861,376691,158440,276698,144893,398860,326935
93,25144,24553,61892,94908,119403,34594,85046,88560,43659,95322,69852,16902,66935,100291,31371,118129,3356,3903,47214,12860,16211,3291,14166,21146,47664,12875,6950,3140,14201,12863
94,77505,32140,21321,73710,31932,22105,496654,5773,77778,77499,21105,32282,45777,78692,36767,47952,77501,5633,81131,70608,36708,73696,14806,81351,77500,32289,84217,21771,78130,74645
95,489480,468313,481834,494894,464127,463695,481375,471099,484121,469954,493803,460208,479890,483800,471221,487256,481825,466097,484858,466498,472523,494895,461116,494899,478581,459963,466295,489863,483448,491231
96,432130,292816,370363,110259,302166,287706,246925,262252,193629,327092,235808,413764,168059,208810,388938,337830,432962,208052,335797,354888,319997,355375,376692,391040,304109,112177,170520,410827,360823,356972
97,186319,239657,142706,388455,192751,402146,214620,353607,334837,406349,288595,216593,242030,150345,271994,375579,165853,322750,252584,311431,303316,111392,406348,322909,412134,239824,391990,164439,217900,436145
98,240235,108626,300520,246578,250182,277943,342165,215716,213363,249626,263373,271991,302821,311238,343138,391629,149541,209892,212068,110905,193662,404299,110904,176568,168278,363071,245290,156871,142287,388365
99,100152,32249,53701,40931,45176,44621,21207,64303,7934,45681,14467,70824,34086,40893,102530,76976,40943,20763,47484,66950,53493,103145,40925,40485,7911,44877,36594,64272,7923,61377
100,181609,302479,110568,138012,178531,189531,165765,372364,355341,286350,246053,319974,279554,424296,203383,281830,316672,389195,116713,308681,425686,368393,347746,394090,247332,336718,295870,157881,310582,379996
101,61536,21615,34103,69691,36513,8304,64463,24163,45004,64070,53746,53338,32332,5260,50883,7892,67188,40477,47525,44646,40942,8244,36517,40944,55739,5565,48127,33976,8111,84157
102,84409,53886,8223,45526,47700,45721,70689,45933,36287,63931,5796,101796,81038,5280,45800,45905,78843,103506,45519,53819,5606,27567,81226,22045,61555,77342,74721,74585,70316,103231
103,45485,103711,81059,21266,11584,64009,53702,45910,5298,50855,100089,41504,56262,32059,58250,103697,61287,44833,101497,74443,64331,7915,14233,45124,56199,77348,53549,36499,5095,60659
104,239047,417155,363896,143991,354264,179583,422024,243868,109120,301014,385280,168363,196208,185044,409442,315185,329433,333822,348774,419427,426541,288413,204769,432020,311753,288565,193783,188033,392502,152553
105,50878,117620,67068,33892,64373,7834,77558,103550,70774,56128,7682,5160,20468,77953,45391,88231,53515,75151,5854,103222,8130,73993,44849,7778,84523,27624,5742,78025,75305,7657
106,57149,91353,38139,117785,57164,121637,98134,120208,120041,97136,52884,121510,97032,31421,39225,59946,121924,37942,31645,99819,102273,97174,120261,99687,102046,99292,97263,38240,6313,117676
107,476199,487749,473255,470390,468640,484952,494343,464789,475106,461996,464278,459441,483623,457836,472342,485637,488716,481461,481460,458611,465372,463843,480039,493406,468596,466919,480058,471918,476571,478485
108,407963,139965,393466,284397,430863,257169,377027,411146,362628,153622,423830,149876,366465,373835,266548,331671,288074,230917,414099,349742,272476,383476,147093,178973,439601,423834,420555,313713,330573,316231
109,339588,250605,313357,399194,395587,154257,391355,271109,213951,141514,362118,407777,407778,428859,315873,399759,173281,2198,299507,234520,248173,286190,233069,270274,225038,437669,316036,344781,339583,220977
110,92672,33745,44343,66500,10523,3625,49920,50201,3732,84094,38465,13835,55334,17075,17101,13284,14334,13644,3916,55719,52937,58127,94746,49193,69731,69528,53264,56008,60807,17828
111,265754,250575,253569,415810,237345,386424,233013,242777,341708,399944,207539,338664,327247,411322,320290,143299,325443,202313,418253,362612,221018,141540,196485,214549,176555,358050,280762,338139,249865,156934
112,469358,484487,470866,475625,487163,474694,467074,488096,467695,463018,477184,480905,466427,460509,469808,473401,490772,463612,486224,478523,477943,487042,462281,481493,469698,480078,487164,468699,471063,491698
113,527640,527617,527639,527614,527638,527501,527613,527612,527616,527552,527542,527547,527626,527609,527530,527621,527610,527554,527576,527644,527427,527517,527561,527580,527537,527622,527620,527550,527619,527428
114,45114,94802,64034,103585,49730,67213,20757,45069,34606,34343,73858,81637,90951,69900,33032,85168,11379,81297,34009,5461,73814,43700,11507,70577,77094,64267,94997,78990,8275,45070
115,44082,44171,87144,69917,14322,58274,70025,60954,80792,60875,60526,73272,43813,60516,55906,69904,50232,70107,58466,73280,20427,50200,20947,16799,16255,10664,35959,13590,35958,13812
116,96123,89465,87593,27901,85078,59174,61965,93241,90896,36793,82614,37110,61967,82380,89642,82572,97485,88948,89681,61905,24540,119965,24532,83052,35196,51314,82574,27946,87670,93206
117,286656,327582,276593,219695,358672,382276,415987,302833,110917,148252,208466,243371,161606,436860,431030,178523,160916,200632,332328,434928,337809,181375,358681,425367,241452,378826,291190,243295,374497,278290
118,53089,63388,56033,66836,44138,7514,20070,20072,60290,4732,57703,3532,69713,40081,40528,13512,97342,47412,73374,40829,50013,11191,20302,16971,36447,40213,16358,14765,11175,69423
119,99418,98949,37910,41282,20165,105152,99123,58989,34914,98127,97066,121321,27375,69506,99146,38324,31491,99240,14055,107579,48888,39242,100613,31606,98147,99772,60151,66848,56005,99493
120,301001,109107,166352,269524,213724,281174,213481,187575,256324,425112,209559,400911,403557,353781,253325,303484,111560,236893,165373,417138,412770,180315,148472,294061,172710,169722,437989,372106,264032,181699
