,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
84,460431,472507,464563,463005,464771,471933,472263,468551,465113,461845,474781,461863,474105,467110,472102,461242,459963,462493,461858,466498
85,97928,58737,85251,119872,51195,93379,8528,8823,108406,59203,95639,54544,54067,54141,95037,48316,65522,9232,51016,61696
86,43795,13857,16301,53409,23634,58134,44613,13733,40503,63950,23599,47563,53396,69308,64038,53203,100913,13732,13694,3183
87,117463,89577,119300,89576,57666,59156,95968,82391,47425,87671,69793,35087,82582,88936,97766,11262,40460,49646,61479,85009
88,21112,21769,21542,78114,77247,56193,45692,66994,5948,74610,73705,74927,32130,77782,77248,78108,56343,66948,11701,73708
89,352976,150850,321445,411475,310758,336398,153035,148581,304900,112957,429694,415966,262138,266610,431167,260579,282649,405843,220437,321949
90,39557,47571,90889,22638,108007,88329,25094,96401,87674,119732,8585,97449,91180,37103,89474,88900,92893,82584,28039,117449
91,435432,169306,169363,336741,353466,322418,204142,176495,225623,274342,156628,231469,386937,249164,384299,353792,234360,337978,253216,348097
92,337824,428228,242000,324596,439096,381467,287480,192873,255818,219957,259373,148394,188413,407473,248587,398862,315887,267840,290665,255809
93,25144,24553,61892,94908,119403,34594,85046,88560,43659,95322,69852,16902,66935,31371,100291,118129,3356,3903,47214,12860
94,77505,32140,21321,73710,31932,22105,496654,5773,77778,77499,21105,32282,45777,78692,36767,47952,77501,5633,81131,70608
95,489480,468313,481834,494894,464127,463695,481375,471099,484121,469954,493803,460208,479890,483800,471221,487256,481825,466097,484858,466498
96,432130,292816,370363,110259,302166,287706,246925,262252,193629,327092,235808,413764,168059,208810,388938,337830,432962,208052,335797,354888
97,186319,239657,142706,388455,192751,402146,214620,353607,334837,406349,288595,216593,242030,150345,271994,375579,165853,322750,252584,311431
98,240235,391629,263373,343138,215716,250182,300520,342165,149541,213363,246578,249626,271991,277943,302821,311238,108626,209892,212068,110905
99,100152,32249,53701,40931,45176,44621,21207,64303,7934,45681,14467,70824,34086,40893,102530,76976,40943,20763,47484,66950
100,181609,110568,302479,138012,178531,189531,165765,372364,355341,286350,246053,319974,279554,424296,203383,281830,316672,389195,308681,116713
101,61536,21615,34103,69691,36513,8304,64463,24163,45004,64070,53746,53338,32332,5260,50883,7892,67188,40477,47525,44646
102,84409,53886,8223,45526,47700,45721,70689,45933,36287,63931,5796,101796,81038,5280,45800,45905,78843,103506,45519,53819
103,45485,103711,81059,21266,11584,64009,53702,45910,5298,50855,100089,41504,56262,32059,58250,103697,61287,44833,101497,74443
104,239047,363896,417155,179583,354264,143991,422024,109120,243868,301014,168363,196208,385280,409442,315185,185044,333822,329433,348774,419427
105,50878,117620,67068,33892,64373,7834,77558,103550,70774,56128,7682,5160,20468,77953,45391,88231,53515,75151,5854,103222
106,57149,38139,91353,117785,121637,57164,98134,120208,97136,120041,52884,97032,121510,31421,39225,59946,121924,37942,99819,31645
107,476199,487749,473255,470390,468640,484952,494343,464789,475106,461996,464278,459441,483623,457836,472342,485637,488716,481461,481460,458611
108,407963,139965,393466,284397,430863,257169,377027,411146,362628,153622,423830,149876,366465,373835,266548,331671,288074,230917,414099,349742
109,339588,250605,313357,399194,395587,154257,391355,271109,213951,141514,362118,407777,407778,428859,315873,399759,173281,2198,299507,234520
110,92672,33745,44343,66500,10523,3625,49920,50201,3732,84094,38465,13835,55334,17075,17101,13284,14334,13644,3916,55719
111,265754,250575,253569,415810,237345,386424,233013,242777,341708,399944,207539,338664,327247,411322,320290,143299,325443,202313,418253,362612
112,469358,484487,470866,475625,487163,474694,467074,488096,467695,463018,477184,480905,466427,460509,469808,473401,490772,463612,486224,478523
113,527640,527617,527639,527614,527638,527501,527613,527612,527616,527552,527542,527547,527626,527609,527530,527621,527610,527554,527576,527644
114,45114,94802,64034,103585,49730,67213,20757,45069,34606,34343,73858,81637,90951,69900,33032,85168,11379,81297,34009,5461
115,44082,44171,87144,69917,14322,58274,70025,60954,80792,60875,60526,73272,43813,60516,55906,69904,50232,70107,58466,73280
116,96123,89465,87593,27901,85078,59174,61965,93241,90896,36793,82614,37110,61967,82380,89642,82572,97485,88948,89681,61905
117,286656,327582,276593,219695,358672,382276,415987,110917,302833,148252,208466,243371,161606,436860,431030,178523,160916,200632,332328,434928
118,53089,63388,56033,66836,44138,7514,20070,20072,60290,4732,57703,3532,69713,40081,40528,13512,97342,47412,73374,40829
119,98949,37910,99418,41282,20165,105152,99123,34914,58989,121321,98127,97066,27375,69506,99240,31491,38324,99146,14055,107579
120,301001,109107,166352,269524,213724,281174,213481,187575,256324,425112,209559,400911,403557,353781,253325,111560,303484,236893,165373,417138
121,472157,493314,494746,468197,467674,458795,464071,462237,492819,474333,481790,490794,466279,459134,463807,469409,489788,487047,466930,468045
122,36659,43860,44820,41511,7595,64325,44395,5099,45502,14241,53787,53730,4965,45365,36785,81045,44397,41513,5888,5493
123,306628,114676,427499,181795,313374,248056,112337,304273,244965,244840,353006,330215,267231,373506,264010,292976,237814,391371,320155,197400
124,55997,57867,14051,44401,49339,49337,50269,50464,3488,19941,44369,63949,69419,53251,69584,20137,13458,69631,55834,63823
125,358512,304424,112484,192766,261364,355203,162853,219066,185519,429038,112483,304423,247334,358046,355351,411139,223101,232540,114884,306837
126,20136,100037,100904,57873,20371,58269,100674,73549,60863,97379,41652,49611,44142,101411,23617,43744,13746,13741,23586,14308
127,57646,3700,20026,63404,44967,17093,40766,50778,50489,40633,13778,20243,14344,41901,43744,3649,23623,97379,20320,40120
128,168369,185645,201212,254885,341236,225994,404514,413756,251416,236846,220898,413934,147130,324757,337996,147356,234994,223106,410828,387868
129,108192,58639,85343,119634,25415,108256,59744,58881,85465,53967,25414,8833,54757,54039,62734,54022,89208,95643,61657,92574
130,95540,25295,59160,97580,27995,119538,28005,25242,25353,88680,119290,92988,53466,95515,51083,119509,48391,58958,6087,34971
